CÓDIGO,DESCRIÇÃO
AL0165,TRUQUE2 ISOLADO B25
AL0164,TRUQUE1 ISOLADO B25
AL0404,TCU: TRUQUE 2 ISOLADO
AL0403,TCU: TRUQUE 1 ISOLADO
AL0128,SOCO SALÃO 8 ACIONADO
AL0121,SOCO SALÃO 1 ACIONADO
AL0802,SISTEMA SONORIZAÇÃO NO MODO DEGRADADO
AL1116,SINCRONIZAÇÃO HORÁRIA
AL0198,SEQUÊNCIA DE ATERRAMENTO REALIZADA
AL0197,SEQUÊNCIA DE ATERRAMENTO INICIADA
AL0055,RESET SISTEMA SDI ATIVO
AL0025,REDUÇÃO DETECÇÃO DE FOGO NA SALÃO
AL1132,PORTAS ABERTAS COM TREM EM VELOCIDADE
AL0160,PANTÓGRAFO 2 ISOLADO
AL0159,PANTÓGRAFO 1 ISOLADO
AL0716,OBSTRUÇAO DETECTADA DURANTE O FECHAMENTO OU ABERTURA DAS PORTAS
AL0118,NECESSÁRIO CONFIRMAR MODO REBOQUE
AL0011,MODO TESTE ATUADO
AL1135,MODO LUBRIFICAÇÃO FRISO NÃO SELECIONADO
AL1100,MAIS DE UMA CHAVE DE CABINE ACIONADA
AL0145,LAÇO_EMERG: SPEED LIMIT
AL0150,LAÇO_EMERG: MANIP. FE
AL0140,LAÇO_EMERG: LAÇO PORTAS
AL0141,LAÇO_EMERG: INVERSOR
AL0143,LAÇO_EMERG: HM
AL0139,LAÇO_EMERG: BOTÃO EMERG.
AL0135,LAÇO_EMERG: ATC
AL1533,JANELA 6 ABERTA COM BLOQUEIO ATIVO
AL1532,JANELA 5 ABERTA COM BLOQUEIO ATIVO
AL1531,JANELA 4 ABERTA COM BLOQUEIO ATIVO
AL1530,JANELA 3 ABERTA COM BLOQUEIO ATIVO
AL1529,JANELA 2 ABERTA COM BLOQUEIO ATIVO
AL1528,JANELA 1 ABERTA COM BLOQUEIO ATIVO
AL0062,INCONGRUÊNCIA SINAIS EXTINÇÃO
AL0908,FREIO HOMEM MORTO ATIVO
AL0005,FALHA SISTEMA DETECÇÃO DE FOGO SALÃO
AL1140,FALHA RELE VELOCIDADE ZERO
AL1122,FALHA RELÉ ACOPLADO
AL0116,FALHA REDUNDÂNCIA SINAIS INVERSOR
AL0115,FALHA REDUNDÂNCIA SINAIS INVERSOR
AL0101,FALHA REDUNDÂNCIA CCU-s
AL0100,FALHA REDUNDÂNCIA ADMIN. BUS MVB
AL0036,FALHA PULSADOR DISPARO 2
AL0035,FALHA PULSADOR DISPARO 1
AL0807,FALHA NO SWITCH ETHERNET
AL0027,FALHA NO SISTEMA DETECÇÃO FOGO
AL0806,FALHA NO MONITOR DE SALÃO
AL0819,FALHA NO MONITOR DE CÂMERAS RETROVISORAS
AL0801,FALHA NO MÓDULO INTERCOMUNICAÇÃO
AL0803,FALHA NO MÓDULO AMPLIFICADOR
AL0114,FALHA NO INVERSOR
AL0805,FALHA NO INDICADOR
AL0050,FALHA NO DETECTOR SALÃO 4
AL0049,FALHA NO DETECTOR SALÃO 3
AL0048,FALHA NO DETECTOR SALÃO 2-6
AL0047,FALHA NO DETECTOR SALÃO 1-5
AL0046,FALHA NO DETECTOR DE FOGO
AL0162,FALHA NO CIRCUITO PANTÓGRAFO 2
AL1103,FALHA NO CIRCUITO CONTROLE CABINE
AL0103,FALHA NA LINHA B MVB
AL0102,FALHA NA LINHA A MVB
AL0195,FALHA NA ILUMINAÇÃO SALÃO
AL0196,FALHA NA ILUMINAÇÃO EMERGÊNCIA
AL0112,FALHA NA FONTE DIGITAL 2
AL0111,FALHA NA FONTE DIGITAL 1
AL0110,FALHA NA FONTE ANALÓGICA 2
AL0109,FALHA NA FONTE ANALÓGICA 1
AL0120,FALHA NA CHAVE B18
AL0816,FALHA NA CÂMERA RETROVISORA
AL0815,FALHA NA CÂMERA CCTV
AL1120,FALHA NA APLICAÇAO DO FREIO ESTACIONAMENTO
AL1121,FALHA NA APLICAÇAO DO FREIO
AL1123,FALHA NA APLICAÇAO DO FREIO
AL1134,FALHA HOMEM MORTO
AL0106,FALHA GRAVE NO MANIPULADOR
AL0006,FALHA GRAVE DETECÇÃO DE FOGO SALÃO
AL0006,FALHA GRAVE DETECÇÃO DE FOGO SALAO
AL1129,FALHA FECHAMENTO DESCONECTOR 2
AL1130,FALHA FASES DO COMPRESSOR
AL0065,FALHA COMUNICAÇÕES INTERNAS CENTRAL CR2
AL0064,FALHA COMUNICAÇÕES INTERNAS CENTRAL CR1
AL0066,FALHA COMUNICAÇÕES INTERNAS CENTRAL CM
AL0670,FALHA COMUNICAÇÕES COM VAC SALÃO
AL0823,FALHA COMUNICAÇÕES COM SIV
AL0071,FALHA COMUNICAÇÕES COM SDI
AL0909,FALHA COMUNICAÇÕES COM REGISTRADOR
AL0822,FALHA COMUNICAÇÕES COM PAS-PA
AL0814,FALHA COMUNICAÇÕES COM IHM CCTV
AL0373,FALHA COMUNICAÇÕES COM FREIO
